id,detector_id,starttime,volume,speed,occupancy,countreadings,vmt,vht,delay,traveltime,resolution
14312189538,100367,2022-01-01 00:00:00-08,177,51.03,1.01,180,137.18,2.69,0.14,0.91,01:00:00
14312195634,100367,2022-01-01 01:00:00-08,164,50.85,0.83,180,127.1,2.5,0.14,0.91,01:00:00
14312198070,100367,2022-01-01 02:00:00-08,118,50.93,0.6,180,91.45,1.8,0.14,0.91,01:00:00
14312200509,100367,2022-01-01 03:00:00-08,69,50.46,0.5,180,53.48,1.06,0.15,0.92,01:00:00
14312202948,100367,2022-01-01 04:00:00-08,53,51.62,0.36,180,41.08,0.8,0.13,0.9,01:00:00
14312205387,100367,2022-01-01 05:00:00-08,46,51.17,0.31,180,35.65,0.7,0.13,0.91,01:00:00
14312207826,100367,2022-01-01 06:00:00-08,63,50.89,0.36,180,48.83,0.96,0.14,0.91,01:00:00
14312210740,100367,2022-01-01 07:00:00-08,83,53.31,0.48,180,64.33,1.21,0.1,0.87,01:00:00
14312212704,100367,2022-01-01 08:00:00-08,125,51.97,0.97,180,96.88,1.86,0.12,0.89,01:00:00
14312215143,100367,2022-01-01 09:00:00-08,167,53.29,0.98,180,129.43,2.43,0.1,0.87,01:00:00
14312217582,100367,2022-01-01 10:00:00-08,272,53.56,1.5,180,210.8,3.94,0.09,0.87,01:00:00
14312220021,100367,2022-01-01 11:00:00-08,329,53.17,2.27,180,254.98,4.8,0.1,0.87,01:00:00
14312223194,100367,2022-01-01 12:00:00-08,343,53.01,1.96,180,265.83,5.01,0.1,0.88,01:00:00
14312224899,100367,2022-01-01 13:00:00-08,376,52.82,2.35,180,291.4,5.52,0.11,0.88,01:00:00
14312226118,100367,2022-01-01 14:00:00-08,326,52.61,1.95,180,252.65,4.8,0.11,0.88,01:00:00
14312227337,100367,2022-01-01 15:00:00-08,348,52.97,2.21,180,269.7,5.09,0.1,0.88,01:00:00
14312228556,100367,2022-01-01 16:00:00-08,327,51.88,1.96,180,253.43,4.88,0.12,0.9,01:00:00
14312229775,100367,2022-01-01 17:00:00-08,289,51.85,1.69,180,223.98,4.32,0.12,0.9,01:00:00
14312230994,100367,2022-01-01 18:00:00-08,253,51.38,1.53,180,196.08,3.82,0.13,0.91,01:00:00
14312232213,100367,2022-01-01 19:00:00-08,216,51.69,1.25,180,167.4,3.24,0.12,0.9,01:00:00
14312233432,100367,2022-01-01 20:00:00-08,166,52.2,0.87,180,128.65,2.46,0.12,0.89,01:00:00
14312234651,100367,2022-01-01 21:00:00-08,152,51.87,0.96,180,117.8,2.27,0.12,0.9,01:00:00
14312235870,100367,2022-01-01 22:00:00-08,135,51.4,0.75,180,104.63,2.04,0.13,0.9,01:00:00
14312237081,100367,2022-01-01 23:00:00-08,74,51.54,0.53,163,57.35,1.11,0.13,0.9,01:00:00
14312238292,100367,2022-01-02 00:00:00-08,64,52.34,0.28,180,49.6,0.95,0.11,0.89,01:00:00
14312239503,100367,2022-01-02 01:00:00-08,64,53.16,0.4,180,49.6,0.93,0.1,0.87,01:00:00
14312240722,100367,2022-01-02 02:00:00-08,56,51.25,0.4,177,43.4,0.85,0.13,0.91,01:00:00
14312241941,100367,2022-01-02 03:00:00-08,42,52.07,0.33,179,32.55,0.63,0.12,0.89,01:00:00
14312243160,100367,2022-01-02 04:00:00-08,40,48.78,0.28,180,31,0.64,0.18,0.95,01:00:00
14312244379,100367,2022-01-02 05:00:00-08,44,50.11,0.39,180,34.1,0.68,0.15,0.93,01:00:00
14312245598,100367,2022-01-02 06:00:00-08,50,48.22,0.32,180,38.75,0.8,0.19,0.96,01:00:00
14312246817,100367,2022-01-02 07:00:00-08,106,51.89,0.73,180,82.15,1.58,0.12,0.9,01:00:00
14312248036,100367,2022-01-02 08:00:00-08,120,51.17,0.8,180,93,1.82,0.13,0.91,01:00:00
14312249255,100367,2022-01-02 09:00:00-08,215,52.43,1.48,180,166.63,3.18,0.11,0.89,01:00:00
14312250474,100367,2022-01-02 10:00:00-08,309,52.88,1.82,180,239.48,4.53,0.1,0.88,01:00:00
14312251693,100367,2022-01-02 11:00:00-08,350,53.45,2.11,180,271.25,5.07,0.09,0.87,01:00:00
14312252912,100367,2022-01-02 12:00:00-08,418,54.44,2.57,179,323.95,5.95,0.08,0.85,01:00:00
14312254131,100367,2022-01-02 13:00:00-08,395,54.03,2.5,178,306.13,5.67,0.09,0.86,01:00:00
14312255350,100367,2022-01-02 14:00:00-08,437,54.56,2.74,180,338.68,6.21,0.08,0.85,01:00:00
14312256569,100367,2022-01-02 15:00:00-08,378,54.28,2.49,180,292.95,5.4,0.08,0.86,01:00:00
14312257788,100367,2022-01-02 16:00:00-08,366,51.9,2.26,180,283.65,5.47,0.12,0.9,01:00:00
