id,device_id,start_time,resolution,implemented_rate,requested_rate,metered_lane_volume,readings
407883135,10034,2022-01-01 00:00:00-08,01:00:00,0,0,144,175
407883216,10034,2022-01-01 01:00:00-08,01:00:00,0,0,101,175
407883536,10034,2022-01-01 02:00:00-08,01:00:00,0,0,96,175
407884413,10034,2022-01-01 03:00:00-08,01:00:00,0,0,62,175
407884793,10034,2022-01-01 04:00:00-08,01:00:00,0,0,28,151
407885021,10034,2022-01-01 05:00:00-08,01:00:00,0,0,25,176
407885740,10034,2022-01-01 06:00:00-08,01:00:00,0,0,26,169
407886013,10034,2022-01-01 07:00:00-08,01:00:00,0,0,39,181
407886552,10034,2022-01-01 08:00:00-08,01:00:00,0,0,34,181
407887242,10034,2022-01-01 09:00:00-08,01:00:00,0,0,78,181
407887820,10034,2022-01-01 10:00:00-08,01:00:00,0,0,139,181
407888450,10034,2022-01-01 11:00:00-08,01:00:00,0,0,161,181
407889221,10034,2022-01-01 12:00:00-08,01:00:00,0,0,185,181
407889480,10034,2022-01-01 13:00:00-08,01:00:00,0,0,206,181
407890017,10034,2022-01-01 14:00:00-08,01:00:00,0,0,214,181
407890841,10034,2022-01-01 15:00:00-08,01:00:00,0,0,216,181
407891022,10034,2022-01-01 16:00:00-08,01:00:00,0,0,182,181
407892059,10034,2022-01-01 17:00:00-08,01:00:00,0,0,199,181
407892627,10034,2022-01-01 18:00:00-08,01:00:00,0,0,152,181
407893155,10034,2022-01-01 19:00:00-08,01:00:00,0,0,104,181
407893750,10034,2022-01-01 20:00:00-08,01:00:00,0,0,119,181
407894358,10034,2022-01-01 21:00:00-08,01:00:00,0,0,89,180
407894593,10034,2022-01-01 22:00:00-08,01:00:00,0,0,83,175
407895386,10034,2022-01-01 23:00:00-08,01:00:00,0,0,66,181
407896131,10034,2022-01-02 00:00:00-08,01:00:00,691,691,40,163
407896576,10034,2022-01-02 01:00:00-08,01:00:00,700,700,42,170
407897281,10034,2022-01-02 02:00:00-08,01:00:00,700,700,41,175
407897952,10034,2022-01-02 03:00:00-08,01:00:00,700,700,18,173
407898131,10034,2022-01-02 04:00:00-08,01:00:00,700,700,8,171
407899105,10034,2022-01-02 05:00:00-08,01:00:00,700,700,18,167
407899126,10034,2022-01-02 06:00:00-08,01:00:00,700,700,28,175
407900018,10034,2022-01-02 07:00:00-08,01:00:00,700,700,38,180
407900757,10034,2022-01-02 08:00:00-08,01:00:00,700,700,33,175
407901161,10034,2022-01-02 09:00:00-08,01:00:00,700,700,79,175
407902057,10034,2022-01-02 10:00:00-08,01:00:00,700,700,130,181
407902760,10034,2022-01-02 11:00:00-08,01:00:00,700,700,192,181
407903146,10034,2022-01-02 12:00:00-08,01:00:00,700,700,227,174
407903946,10034,2022-01-02 13:00:00-08,01:00:00,700,700,251,179
407904713,10034,2022-01-02 14:00:00-08,01:00:00,700,700,293,181
407905226,10034,2022-01-02 15:00:00-08,01:00:00,700,700,280,181
407905863,10034,2022-01-02 16:00:00-08,01:00:00,700,700,214,181
407906673,10034,2022-01-02 17:00:00-08,01:00:00,700,700,209,180
407907755,10034,2022-01-02 18:00:00-08,01:00:00,700,700,167,181
407908613,10034,2022-01-02 19:00:00-08,01:00:00,700,700,123,181
